ID	Side	Element	Sca_01	Sca_02
Scapula_L1	Left	Scapula	147	106
Scapula_L2	Left	Scapula	162	106
Scapula_L3	Left	Scapula	132	92
Scapula_L4	Left	Scapula	147	106
Scapula_L5	Left	Scapula	160	103
Scapula_L6	Left	Scapula	139	97
Scapula_L7	Left	Scapula	171	118
Scapula_L8	Left	Scapula	140	89
Scapula_L9	Left	Scapula	163	105
Scapula_L10	Left	Scapula	157	115
Scapula_L11	Left	Scapula	138	90
Scapula_L12	Left	Scapula	165	101
Scapula_L13	Left	Scapula	161	100
Scapula_L14	Left	Scapula	158	110
Scapula_L15	Left	Scapula	161	114
Scapula_L16	Left	Scapula	162	104
Scapula_L17	Left	Scapula	153	97
Scapula_L18	Left	Scapula	163	109
Scapula_L19	Left	Scapula	152	97
Scapula_L20	Left	Scapula	162	110
Scapula_L21	Left	Scapula	162	110
Scapula_L22	Left	Scapula	154	100
Scapula_L23	Left	Scapula	151	97
Scapula_L24	Left	Scapula	153	107
Scapula_L25	Left	Scapula	125	92
Scapula_L26	Left	Scapula	159	105
Scapula_L27	Left	Scapula	139	92
Scapula_L28	Left	Scapula	119	84
Scapula_L29	Left	Scapula	165	112
Scapula_L30	Left	Scapula	151	115
Scapula_L31	Left	Scapula	162	118
Scapula_L32	Left	Scapula	147	93
Scapula_L33	Left	Scapula	131	107
Scapula_L34	Left	Scapula	91	58
Scapula_L35	Left	Scapula	134	96
Scapula_L36	Left	Scapula	145	101
Scapula_L37	Left	Scapula	164	123
Scapula_L38	Left	Scapula	168	106
Scapula_L39	Left	Scapula	149	97
Scapula_L40	Left	Scapula	166	121
Scapula_L41	Left	Scapula	165	106
Scapula_L42	Left	Scapula	175	114
Scapula_L43	Left	Scapula	140	97
Scapula_L44	Left	Scapula	136	97
Scapula_L45	Left	Scapula	164	109
Scapula_L46	Left	Scapula	170	106
Scapula_L47	Left	Scapula	150	91
Scapula_L48	Left	Scapula	144	106
Scapula_L49	Left	Scapula	131	91
Scapula_L50	Left	Scapula	161	118
Scapula_L51	Left	Scapula	132	91
Scapula_L52	Left	Scapula	168	113
Scapula_L53	Left	Scapula	140	88
Scapula_L54	Left	Scapula	95	66
Scapula_L55	Left	Scapula	137	90
Scapula_L56	Left	Scapula	165	123
Scapula_L57	Left	Scapula	166	116
Scapula_L58	Left	Scapula	166	107
Scapula_L59	Left	Scapula	177	116
Scapula_L60	Left	Scapula	154	108
Scapula_L61	Left	Scapula	151	100
Scapula_L62	Left	Scapula	160	111
Scapula_L63	Left	Scapula	167	112
Scapula_L64	Left	Scapula	155	97
Scapula_L65	Left	Scapula	178	116
Scapula_L66	Left	Scapula	70	50
Scapula_L67	Left	Scapula	168	114
Scapula_L68	Left	Scapula	143	100
Scapula_L69	Left	Scapula	107	73
Scapula_L70	Left	Scapula	149	96
Scapula_L71	Left	Scapula	158	109
Scapula_L72	Left	Scapula	168	103
Scapula_L73	Left	Scapula	154	107
Scapula_L74	Left	Scapula	165	106
Scapula_L75	Left	Scapula	162	110.6
Scapula_L76	Left	Scapula	177	102.3
Scapula_L77	Left	Scapula	159	103.3
Scapula_L78	Left	Scapula	180	118
Scapula_L79	Left	Scapula	165	112.9
Scapula_L80	Left	Scapula	168	119.3
Scapula_L81	Left	Scapula	179	119.3
Scapula_L82	Left	Scapula	159	110.3
Scapula_L83	Left	Scapula	141	103.9
Scapula_L84	Left	Scapula	159	101.6
Scapula_L85	Left	Scapula	168	112.6
Scapula_L86	Left	Scapula	161	101.59
Scapula_L87	Left	Scapula	136	88.57
Scapula_L88	Left	Scapula	140	88.91
Scapula_L89	Left	Scapula	133	95.19
Scapula_L90	Left	Scapula	129	91.52
Scapula_L91	Left	Scapula	152	95.8
Scapula_L92	Left	Scapula	119	83.4
Scapula_L93	Left	Scapula	164	104.9
Scapula_L94	Left	Scapula	150	109.7
Scapula_L95	Left	Scapula	153	103.2
Scapula_L96	Left	Scapula	166	104.8
Scapula_L97	Left	Scapula	144	110.3
Scapula_L98	Left	Scapula	158	93
Scapula_L99	Left	Scapula	183	107.1
Scapula_L100	Left	Scapula	155	101
Scapula_L101	Left	Scapula	158	111
Scapula_L102	Left	Scapula	164.5	107.2
Scapula_L103	Left	Scapula	155.5	104.3
Scapula_L104	Left	Scapula	144.9	104.8
Scapula_L105	Left	Scapula	166	110.5
Scapula_L106	Left	Scapula	156.5	105.4
Scapula_L107	Left	Scapula	162	111.8
Scapula_L108	Left	Scapula	146	106.6
Scapula_L109	Left	Scapula	150.8	89.7
Scapula_L110	Left	Scapula	146.1	94.1
Scapula_L111	Left	Scapula	161	118
Scapula_L112	Left	Scapula	158	107.3
Scapula_L113	Left	Scapula	141	101.3
Scapula_L114	Left	Scapula	172	105.9
Scapula_L115	Left	Scapula	150.8	95.4
Scapula_L116	Left	Scapula	159	107
Scapula_L117	Left	Scapula	179	99.1
Scapula_L118	Left	Scapula	161	115
Scapula_L119	Left	Scapula	143	98
Scapula_L120	Left	Scapula	148.2	110
Scapula_L121	Left	Scapula	174	108
Scapula_L122	Left	Scapula	159	112
Scapula_L123	Left	Scapula	165	109
