ID	Side	Element	Cla_01	Cla_04	Cla_05
Clavicle_L1	Left	Clavicle	170	11	11
Clavicle_L2	Left	Clavicle	168	10	16
Clavicle_L3	Left	Clavicle	156	13	11
Clavicle_L4	Left	Clavicle	167	10	13
Clavicle_L5	Left	Clavicle	163	14	11
Clavicle_L6	Left	Clavicle	162	14	10
Clavicle_L7	Left	Clavicle	151	12	10
Clavicle_L8	Left	Clavicle	146	11	10
Clavicle_L9	Left	Clavicle	165	14	11
Clavicle_L10	Left	Clavicle	133	11	10
Clavicle_L11	Left	Clavicle	143	11	8
Clavicle_L12	Left	Clavicle	135	11	8
Clavicle_L13	Left	Clavicle	140	11	8
Clavicle_L14	Left	Clavicle	150	12	11
Clavicle_L15	Left	Clavicle	148	12	9
Clavicle_L16	Left	Clavicle	137	10	8
Clavicle_L17	Left	Clavicle	157	14	11
Clavicle_L18	Left	Clavicle	129	11	8
Clavicle_L19	Left	Clavicle	151	14	10
Clavicle_L20	Left	Clavicle	151	10	8
Clavicle_L21	Left	Clavicle	160	12	10
Clavicle_L22	Left	Clavicle	132	11	10
Clavicle_L23	Left	Clavicle	172	11	12
Clavicle_L24	Left	Clavicle	127	10	10
Clavicle_L25	Left	Clavicle	162	12	9
Clavicle_L26	Left	Clavicle	138	11	9
Clavicle_L27	Left	Clavicle	142	11	9
Clavicle_L28	Left	Clavicle	169	13	9
Clavicle_L29	Left	Clavicle	154	15	11
Clavicle_L30	Left	Clavicle	129	10	11
Clavicle_L31	Left	Clavicle	125	10	8
Clavicle_L32	Left	Clavicle	165	14	12
Clavicle_L33	Left	Clavicle	143	10	9
Clavicle_L34	Left	Clavicle	161	14	10
Clavicle_L35	Left	Clavicle	129	10	7
Clavicle_L36	Left	Clavicle	100	7	6
Clavicle_L37	Left	Clavicle	180	13	13
Clavicle_L38	Left	Clavicle	159	17	13
Clavicle_L39	Left	Clavicle	156	14	11
Clavicle_L40	Left	Clavicle	149	13	9
Clavicle_L41	Left	Clavicle	155	11	8
Clavicle_L42	Left	Clavicle	152	16	11
Clavicle_L43	Left	Clavicle	173	16	10
Clavicle_L44	Left	Clavicle	168	14	11
Clavicle_L45	Left	Clavicle	131	12	11
Clavicle_L46	Left	Clavicle	165	14	11
Clavicle_L47	Left	Clavicle	72	7	4
Clavicle_L48	Left	Clavicle	166	13	11
Clavicle_L49	Left	Clavicle	99	6	6
Clavicle_L50	Left	Clavicle	105	7	8
