ID	Side	Element	Sca_01R	Sca_02R
Scapula_R1	Right	Scapula	146	106
Scapula_R2	Right	Scapula	164	104
Scapula_R3	Right	Scapula	133	93
Scapula_R4	Right	Scapula	145	113
Scapula_R5	Right	Scapula	159	101
Scapula_R6	Right	Scapula	138	97
Scapula_R7	Right	Scapula	164	120
Scapula_R8	Right	Scapula	138	89
Scapula_R9	Right	Scapula	160	107
Scapula_R10	Right	Scapula	155	116
Scapula_R11	Right	Scapula	137	88
Scapula_R12	Right	Scapula	166	98
Scapula_R13	Right	Scapula	165	97
Scapula_R14	Right	Scapula	164	106
Scapula_R15	Right	Scapula	156	112
Scapula_R16	Right	Scapula	161	105
Scapula_R17	Right	Scapula	157	96
Scapula_R18	Right	Scapula	166	109
Scapula_R19	Right	Scapula	150	98
Scapula_R20	Right	Scapula	156	109
Scapula_R21	Right	Scapula	163	108
Scapula_R22	Right	Scapula	151	100
Scapula_R23	Right	Scapula	154	97
Scapula_R24	Right	Scapula	154	107
Scapula_R25	Right	Scapula	127	97
Scapula_R26	Right	Scapula	158	102
Scapula_R27	Right	Scapula	140	94
Scapula_R28	Right	Scapula	120	88
Scapula_R29	Right	Scapula	164	109
Scapula_R30	Right	Scapula	150	117
Scapula_R31	Right	Scapula	167	119
Scapula_R32	Right	Scapula	143	92
Scapula_R33	Right	Scapula	126	104
Scapula_R34	Right	Scapula	91	58
Scapula_R35	Right	Scapula	137	95
Scapula_R36	Right	Scapula	145	101
Scapula_R37	Right	Scapula	165	119
Scapula_R38	Right	Scapula	167	104
Scapula_R39	Right	Scapula	149	94
Scapula_R40	Right	Scapula	162	121
Scapula_R41	Right	Scapula	164	104
Scapula_R42	Right	Scapula	180	114
Scapula_R43	Right	Scapula	142	96
Scapula_R44	Right	Scapula	135	98
Scapula_R45	Right	Scapula	167	110
Scapula_R46	Right	Scapula	167	104
Scapula_R47	Right	Scapula	152	91
Scapula_R48	Right	Scapula	137	106
Scapula_R49	Right	Scapula	131	90
Scapula_R50	Right	Scapula	164	117
Scapula_R51	Right	Scapula	131	92
Scapula_R52	Right	Scapula	170	111
Scapula_R53	Right	Scapula	142	86
Scapula_R54	Right	Scapula	93	65
Scapula_R55	Right	Scapula	139	88
Scapula_R56	Right	Scapula	167	122
Scapula_R57	Right	Scapula	170	113
Scapula_R58	Right	Scapula	166	103
Scapula_R59	Right	Scapula	177	116
Scapula_R60	Right	Scapula	158	107
Scapula_R61	Right	Scapula	147	100
Scapula_R62	Right	Scapula	156	111
Scapula_R63	Right	Scapula	163	112
Scapula_R64	Right	Scapula	151	98
Scapula_R65	Right	Scapula	175	111
Scapula_R66	Right	Scapula	72	49
Scapula_R67	Right	Scapula	160	113
Scapula_R68	Right	Scapula	143	101
Scapula_R69	Right	Scapula	109	73
Scapula_R70	Right	Scapula	138	93
Scapula_R71	Right	Scapula	154	105
Scapula_R72	Right	Scapula	167	103
Scapula_R73	Right	Scapula	155	105
Scapula_R74	Right	Scapula	160	104
Scapula_R75	Right	Scapula	157	111.2
Scapula_R76	Right	Scapula	173	106.9
Scapula_R77	Right	Scapula	163	104.9
Scapula_R78	Right	Scapula	180	120
Scapula_R79	Right	Scapula	164	114.2
Scapula_R80	Right	Scapula	166	117.1
Scapula_R81	Right	Scapula	183	116.9
Scapula_R82	Right	Scapula	162	110.9
Scapula_R83	Right	Scapula	146	102.6
Scapula_R84	Right	Scapula	155	101.2
Scapula_R85	Right	Scapula	167	110.3
Scapula_R86	Right	Scapula	159	101.09
Scapula_R87	Right	Scapula	133	89.14
Scapula_R88	Right	Scapula	138	89.05
Scapula_R89	Right	Scapula	136	92.62
Scapula_R90	Right	Scapula	127	89.03
Scapula_R91	Right	Scapula	156	97.2
Scapula_R92	Right	Scapula	121	83
Scapula_R93	Right	Scapula	167	106.5
Scapula_R94	Right	Scapula	150	109.7
Scapula_R95	Right	Scapula	154	104.1
Scapula_R96	Right	Scapula	161	107.4
Scapula_R97	Right	Scapula	138	104.8
Scapula_R98	Right	Scapula	163	92
Scapula_R99	Right	Scapula	181	108.1
Scapula_R100	Right	Scapula	156	104
Scapula_R101	Right	Scapula	156	113
Scapula_R102	Right	Scapula	167	107.8
Scapula_R103	Right	Scapula	157.5	103.7
Scapula_R104	Right	Scapula	151.2	102.1
Scapula_R105	Right	Scapula	167.5	109.6
Scapula_R106	Right	Scapula	156	104.3
Scapula_R107	Right	Scapula	165	115.1
Scapula_R108	Right	Scapula	143.3	105.5
Scapula_R109	Right	Scapula	151	87.5
Scapula_R110	Right	Scapula	140.7	94.8
Scapula_R111	Right	Scapula	161	118.7
Scapula_R112	Right	Scapula	157.5	108.5
Scapula_R113	Right	Scapula	139.5	100.1
Scapula_R114	Right	Scapula	174	107.3
Scapula_R115	Right	Scapula	144.6	93.4
Scapula_R116	Right	Scapula	157	104
Scapula_R117	Right	Scapula	178	101.4
Scapula_R118	Right	Scapula	155	113
Scapula_R119	Right	Scapula	141	99
Scapula_R120	Right	Scapula	151.1	108.8
Scapula_R121	Right	Scapula	171	110
Scapula_R122	Right	Scapula	163	114
Scapula_R123	Right	Scapula	165	109
