ID	Side	Element	Tib_01R	Tib_02R	Tib_03R	Tib_04R	Tib_05R
Tibia_R1	Right	Tibia	397	82	55	34	26
Tibia_R2	Right	Tibia	393	79	51	39	23
Tibia_R3	Right	Tibia	366	73	49	31	23
Tibia_R4	Right	Tibia	411	79	48	39	26
Tibia_R5	Right	Tibia	348	69	46	35	21
Tibia_R6	Right	Tibia	382	75	49	37	26
Tibia_R7	Right	Tibia	430	81	53	40	32
Tibia_R8	Right	Tibia	371	76	49	32	24
Tibia_R9	Right	Tibia	398	75	50	38	26
Tibia_R10	Right	Tibia	388	84	56	39	28
Tibia_R11	Right	Tibia	387	78	49	41	24
Tibia_R12	Right	Tibia	342	75	50	34	25
Tibia_R13	Right	Tibia	340	72	48	38	28
Tibia_R14	Right	Tibia	384	83	56	32	22
Tibia_R15	Right	Tibia	379	84	54	37	24
Tibia_R16	Right	Tibia	380	74	47	32	20
Tibia_R17	Right	Tibia	335	66	46	29	21
Tibia_R18	Right	Tibia	372	75	48	35	27
Tibia_R19	Right	Tibia	386	74	50	36	23
Tibia_R20	Right	Tibia	334	64	37	32	25
Tibia_R21	Right	Tibia	402	78	53	35	25
Tibia_R22	Right	Tibia	341	66	43	28	20
Tibia_R23	Right	Tibia	384	76	43	33	25
Tibia_R24	Right	Tibia	428	82	53	43	29
Tibia_R25	Right	Tibia	372	68	43	31	20
Tibia_R26	Right	Tibia	343	63	45	30	22
Tibia_R27	Right	Tibia	388	78	49	28	22
Tibia_R28	Right	Tibia	384	77	51	35	27
Tibia_R29	Right	Tibia	338	66	44	29	19
Tibia_R30	Right	Tibia	397	80	54	37	23
Tibia_R31	Right	Tibia	346	72	44	30	23
Tibia_R32	Right	Tibia	399	80	38	37	25
Tibia_R33	Right	Tibia	376	76	46	31	26
Tibia_R34	Right	Tibia	327	66	42	28	19
Tibia_R35	Right	Tibia	393	65	48	33	23
Tibia_R36	Right	Tibia	388	77	46	31	23
Tibia_R37	Right	Tibia	404	80	52	39	23
Tibia_R38	Right	Tibia	364	75	44	33	24
Tibia_R39	Right	Tibia	442	83	51	36	27
Tibia_R40	Right	Tibia	381	80	58	39	28
Tibia_R41	Right	Tibia	385	73	48	33	24
Tibia_R42	Right	Tibia	430	77	49	39	28
Tibia_R43	Right	Tibia	411	83	58	39	26
Tibia_R44	Right	Tibia	162	39	28	15	15
Tibia_R45	Right	Tibia	389	72	47	30	22
Tibia_R46	Right	Tibia	405	76	49	36	24
Tibia_R47	Right	Tibia	391	74	52	35	24
Tibia_R48	Right	Tibia	382	76	51	40	26
Tibia_R49	Right	Tibia	360	72	48	34.8	23.9
Tibia_R50	Right	Tibia	373	81	48	35	29.2
Tibia_R51	Right	Tibia	381	79	54	36.2	23.5
Tibia_R52	Right	Tibia	376	79	49	37.1	27
Tibia_R53	Right	Tibia	382	81	50	35.9	25.2
Tibia_R54	Right	Tibia	390	80.5	51	39.5	25.2
Tibia_R55	Right	Tibia	405	82	53	36	28.5
Tibia_R56	Right	Tibia	378	84	54	35.4	25.1
Tibia_R57	Right	Tibia	403	77	54	36.7	25.4
Tibia_R58	Right	Tibia	369	81	55	37.5	27.7
Tibia_R59	Right	Tibia	428	84	52.5	39.1	29
Tibia_R60	Right	Tibia	395	81	50	41.6	29.7
Tibia_R61	Right	Tibia	406	84	53	41.1	28.1
Tibia_R62	Right	Tibia	410	83	53	40.2	29.8
Tibia_R63	Right	Tibia	416	85	60	42.9	28.5
Tibia_R64	Right	Tibia	387	78	49	37	28.2
Tibia_R65	Right	Tibia	385	80.5	52	37.4	24.1
Tibia_R66	Right	Tibia	388	80	50	38.6	26.5
Tibia_R67	Right	Tibia	391	82	51	34.3	26.9
Tibia_R68	Right	Tibia	409	84	53	38.8	27
Tibia_R69	Right	Tibia	395	80	49	39.8	29.8
Tibia_R70	Right	Tibia	403	79	49	38.8	28.2
Tibia_R71	Right	Tibia	377	79	52	36.8	25.9
Tibia_R72	Right	Tibia	382	80	56	38.8	29.6
Tibia_R73	Right	Tibia	400	83	51	33.7	27.9
Tibia_R74	Right	Tibia	352	70	45	31	18.8
Tibia_R75	Right	Tibia	361	71	46	28.3	21.51
Tibia_R76	Right	Tibia	318	70	44	28.53	17.91
Tibia_R77	Right	Tibia	335	70	45	26.92	18.89
Tibia_R78	Right	Tibia	357	71	43	28.57	19.29
Tibia_R79	Right	Tibia	320	66	41	28.39	18.78
Tibia_R80	Right	Tibia	382	80	56	37.3	27.5
Tibia_R81	Right	Tibia	340	74	44	31.2	20.5
Tibia_R82	Right	Tibia	296	63	40	29.3	21.2
Tibia_R83	Right	Tibia	373	84	52	37.6	27.8
Tibia_R84	Right	Tibia	368	75	51	34.5	20.7
Tibia_R85	Right	Tibia	340	80	51	34.9	24.1
Tibia_R86	Right	Tibia	359	71	47	30.3	21.3
Tibia_R87	Right	Tibia	326	72	46	33.8	25.6
Tibia_R88	Right	Tibia	372	75	50	31.6	23.7
Tibia_R89	Right	Tibia	378	73	50	33.2	21.7
Tibia_R90	Right	Tibia	419	85	56	41.9	29.6
Tibia_R91	Right	Tibia	407	74	51	30	22
Tibia_R92	Right	Tibia	409	83	53	37	28
Tibia_R93	Right	Tibia	367	78	52	37	26
Tibia_R94	Right	Tibia	351	81	49	34	24
Tibia_R95	Right	Tibia	391	81	55.5	35.8	24.8
Tibia_R96	Right	Tibia	362.5	77	55.5	32.3	24.6
Tibia_R97	Right	Tibia	334	77.5	54	36.4	27.6
Tibia_R98	Right	Tibia	344	78	54	32.7	24
Tibia_R99	Right	Tibia	350.5	77.5	52	29.9	24.7
Tibia_R100	Right	Tibia	384	83	59.5	36.4	27.8
Tibia_R101	Right	Tibia	313.5	64.5	45.5	27	19.1
Tibia_R102	Right	Tibia	361	71.5	46.5	32.2	25.2
Tibia_R103	Right	Tibia	362	76.5	56	34.2	25.4
Tibia_R104	Right	Tibia	360	74.5	56.5	35.2	25.1
Tibia_R105	Right	Tibia	344	80.5	57	36.7	24.6
Tibia_R106	Right	Tibia	333	69.5	47.5	27.1	19.6
Tibia_R107	Right	Tibia	409	79	50	41	26
Tibia_R108	Right	Tibia	384	79	54	36	24
Tibia_R109	Right	Tibia	337	74	48	33	23
Tibia_R110	Right	Tibia	385	80	52	32.5	23.1
Tibia_R111	Right	Tibia	396	78	55	35	21
Tibia_R112	Right	Tibia	418	77	49	38	27
Tibia_R113	Right	Tibia	419	73	49	33.6	24
