ID	Side	Element	Cla_01R	Cla_04R	Cla_05R
Clavical_R1	Right	Clavicle	171	12	11
Clavical_R2	Right	Clavicle	161	9	15
Clavical_R3	Right	Clavicle	152	13	12
Clavical_R4	Right	Clavicle	162	10	15
Clavical_R5	Right	Clavicle	156	15	12
Clavical_R6	Right	Clavicle	162	15	10
Clavical_R7	Right	Clavicle	159	12	12
Clavical_R8	Right	Clavicle	141	12	11
Clavical_R9	Right	Clavicle	165	14	11
Clavical_R10	Right	Clavicle	131	12	9
Clavical_R11	Right	Clavicle	142	12	8
Clavical_R12	Right	Clavicle	133	10	7
Clavical_R13	Right	Clavicle	140	12	8
Clavical_R14	Right	Clavicle	151	13	12
Clavical_R15	Right	Clavicle	140	11	11
Clavical_R16	Right	Clavicle	137	11	8
Clavical_R17	Right	Clavicle	148	15	11
Clavical_R18	Right	Clavicle	124	9	9
Clavical_R19	Right	Clavicle	146	12	10
Clavical_R20	Right	Clavicle	144	12	8
Clavical_R21	Right	Clavicle	158	12	10
Clavical_R22	Right	Clavicle	133	9	9
Clavical_R23	Right	Clavicle	174	12	13
Clavical_R24	Right	Clavicle	125	9	7
Clavical_R25	Right	Clavicle	156	12	11
Clavical_R26	Right	Clavicle	138	11	7
Clavical_R27	Right	Clavicle	135	11	10
Clavical_R28	Right	Clavicle	166	13	9
Clavical_R29	Right	Clavicle	156	14	11
Clavical_R30	Right	Clavicle	122	9	10
Clavical_R31	Right	Clavicle	122	8	8
Clavical_R32	Right	Clavicle	160	17	11
Clavical_R33	Right	Clavicle	139	10	9
Clavical_R34	Right	Clavicle	155	14	11
Clavical_R35	Right	Clavicle	124	10	8
Clavical_R36	Right	Clavicle	103	8	6
Clavical_R37	Right	Clavicle	175	12	12
Clavical_R38	Right	Clavicle	159	17	13
Clavical_R39	Right	Clavicle	160	14	11
Clavical_R40	Right	Clavicle	148	14	9
Clavical_R41	Right	Clavicle	143	11	8
Clavical_R42	Right	Clavicle	152	16	12
Clavical_R43	Right	Clavicle	171	16	11
Clavical_R44	Right	Clavicle	167	14	10
Clavical_R45	Right	Clavicle	135	10	11
Clavical_R46	Right	Clavicle	166	14	11
Clavical_R47	Right	Clavicle	70	6	5
Clavical_R48	Right	Clavicle	164	13	11
Clavical_R49	Right	Clavicle	100	6	7
Clavical_R50	Right	Clavicle	107	6	8
Clavical_R51	Right	Clavicle	134	11	14
Clavical_R52	Right	Clavicle	159	12	9
Clavical_R53	Right	Clavicle	151	14	10
Clavical_R54	Right	Clavicle	151	15	10
Clavical_R55	Right	Clavicle	156	11	14
Clavical_R56	Right	Clavicle	130	9	9
Clavical_R57	Right	Clavicle	161	12	13.9
Clavical_R58	Right	Clavicle	149	13.8	12.8
Clavical_R59	Right	Clavicle	148	11.4	10.9
Clavical_R60	Right	Clavicle	161	13.7	10.2
